   400→   400→- **Status**: ✅ Working
   401→   401→- **Issues**: `_parseDate` doesn't handle the MongoDB `{$date: ...}` Extended JSON form (unlike `audit_log_model.dart`'s version). Minor inconsistency between helper copies. No shared mixin/file for these duplicated `_toInt`/`_parseDate` helpers — they're copy-pasted across every model file.
   402→   402→
   403→   403→## lib/core/backend/models/user_settings_model.dart
   404→   404→- **Purpose**: Per-user settings model ported from `backend/v1/models/user_settings.js`.
   405→   405→- **Classes/Functions**: `UserLanguage` enum (russian/uzbek/english/karakalpak); `UserTheme` enum; `UserNotificationSettings` class; `UserPrivacy` class; `UserSettings` class (and private helpers).
   406→   406→- **Imports**: None (read first 50 lines, full file is 410 lines).
   407→   407→- **Status**: ✅ Working
   408→   408→- **Issues**: `UserLanguage.karakalpak` (`kaa`) is included but not in `LocaleData.supportedLocales` (which only has en/ru/uz) — UI will fall back to default for Karakalpak users. `UserLanguage.fromString` defaults to Russian (not English) — surprising since the rest of the app defaults to English.
   409→   409→
   410→   410→## lib/core/backend/models/prepaid_model.dart
   411→   411→- **Purpose**: Prepaid card / voucher model. Single-or-multi-use codes that credit a user's balance when redeemed.
   412→   412→- **Classes/Functions**: `PrepaidStatus` enum (unused/partiallyUsed/used/expired/revoked); `PrepaidCard` class (and private helpers).
   413→   413→- **Imports**: None (read first 50 lines, full file is 292 lines).
   414→   414→- **Status**: ✅ Working
   415→   415→- **Issues**: None apparent.
   416→   416→
   417→   417→## lib/core/backend/models/admin_model.dart
   418→   418→- **Purpose**: Administrative user model with role-based access control. Ported from `backend/v1/models/admins.js`.
   419→   419→- **Classes/Functions**: `AdminModel` class (and private helpers).
   420→   420→- **Imports**: None (read first 50 lines, full file is 166 lines).
   421→   421→- **Status**: ✅ Working
   422→   422→- **Issues**: `role` defaults to `'admin'` but the embedded server uses `'super_admin'`, `'admin'`, `'operator'`, `'support'`, `'read_only'` — no enum, just strings. Inconsistent with `Roles` class in `permissions_service.dart` which has `'support'` but not `'read_only'` or `'operator'`.
   423→   423→
   424→   424→## lib/core/backend/models/trip_model.dart
   425→   425→- **Purpose**: Trip lifecycle model ported from `backend/v1/models/trips.js`. Captures reserved → active → ended/cancelled/expired states and cost calculation breakdown.
   426→   426→- **Classes/Functions**: `TripStatus` enum; `TripEndZone` enum; `TripCoordinates` class; `TripCostBreakdown` class; `CityRateSnapshot` class; `TripModel` class; `TripList` class (and private helpers).
   427→   427→- **Imports**: None (read first 50 lines, full file is 648 lines).
   428→   428→- **Status**: ✅ Working
   429→   429→- **Issues**: None apparent. Well-structured.
   430→   430→
   431→   431→## lib/core/backend/models/mechanic_model.dart
   432→   432→- **Purpose**: Mechanic profile plus maintenance-request and inventory models ported from `backend/v1/models/mechanics.js`.
   433→   433→- **Classes/Functions**: `MechanicStatus` enum; `MaintenanceStatus` enum; `MaintenancePriority` enum; `SparePart` class; `PartUsed` class; `PartsInventory` class; `InventoryHistoryEntry` class; `MaintenanceRequest` class; `MechanicModel` class (and private helpers).
   434→   434→- **Imports**: None (read first 50 lines, full file is 821 lines).
   435→   435→- **Status**: ✅ Working
   436→   436→- **Issues**: None apparent.
   437→   437→
   438→   438→## lib/core/backend/models/iot_model.dart
   439→   439→- **Purpose**: IoT telemetry, event and command models ported from `backend/v1/models/iot.js`.
   440→   440→- **Classes/Functions**: `IoTCommandStatus` enum; `IoTCommandKind` enum; `IoTEventType` enum; `IoTCommand` class; `Telemetry` class; `IoTEvent` class (and private helpers).
   441→   441→- **Imports**: None (read first 50 lines, full file is 484 lines).
   442→   442→- **Status**: ✅ Working
   443→   443→- **Issues**: None apparent.
   444→   444→
   445→   445→## lib/core/backend/models/upload_model.dart
   446→   446→- **Purpose**: File-upload metadata model ported from `backend/v1/models/uploads.js`. Allowed types: JPEG, PNG, WebP. Max 5 MB.
   447→   447→- **Classes/Functions**: `allowedUploadMimeTypes` const list; `maxUploadSizeBytes` const (5 MB); `UploadPurpose` enum (parkingProof/breakdown/maintenanceCompletion/avatar/general); `UploadModel` class; `UploadList` class (and private helpers).
   448→   448→- **Imports**: None (read first 50 lines, full file is 299 lines).
   449→   449→- **Status**: ✅ Working
   450→   450→- **Issues**: `maxUploadSizeBytes = 5 * 1024 * 1024` hardcoded — should be in `AppConstants`.
   451→   451→
   452→   452→## lib/core/backend/models/transaction_model.dart
   453→   453→- **Purpose**: Transaction (ledger entry) model ported from `backend/v1/models/transactions.js`. Every balance mutation is a signed transaction.
   454→   454→- **Classes/Functions**: `TransactionType` enum (topupClick/topupPayme/topupCard/topupPrepaid/tripPayment/refund/bonus/penalty/juicerPayout); `TransactionStatus` enum; `PaymentMethod` class; `TransactionModel` class; `TransactionList` class (and private helpers).
   455→   455→- **Imports**: None (read first 50 lines, full file is 499 lines).
   456→   456→- **Status**: ✅ Working
   457→   457→- **Issues**: None apparent.
   458→   458→
   459→   459→## lib/core/backend/models/juicer_model.dart
   460→   460→- **Purpose**: Juicer (scooter-charger gig worker) model ported from `backend/v1/models/juicers.js`.
   461→   461→- **Classes/Functions**: `JuicerStatus` enum; `JuicerTaskStatus` enum; `TaskCoordinates` class; `JuicerTask` class; `JuicerEarnings` class; `JuicerModel` class (and private helpers).
   462→   462→- **Imports**: None (read first 50 lines, full file is 467 lines).
   463→   463→- **Status**: ✅ Working
   464→   464→- **Issues**: Header comment mentions `JUICER_PAY_PER_SCOOTER = 5000 UZS` from the JS module — that constant is not surfaced in this Dart file (would need to verify in full file read).
   465→   465→
   466→   466→## lib/core/backend/models/geofence_model.dart
   467→   467→- **Purpose**: Geofencing check result ported from `backend/v1/models/geofencing.js`. Captures the `/geofencing/check` response.
   468→   468→- **Classes/Functions**: `GeofenceCheck` class; `GeofenceCity` class; `GeofenceZone` class; `GeofenceSpeedPolicy` class (and private helpers).
   469→   469→- **Imports**: `zone_model.dart` (ZoneType, GeoPoint).
   470→   470→- **Status**: ✅ Working
   471→   471→- **Issues**: None apparent. Properly imports only what it needs from `zone_model.dart` via `show`.
   472→   472→
   473→   473→## lib/core/backend/models/city_model.dart
   474→   474→- **Purpose**: City model with rate card and operational zones ported from `backend/v1/models/cities.js`.
   475→   475→- **Classes/Functions**: `CityModel` class; `CityRates` class; `CityScooterStatus` class; `CityOverview` class (and private helpers).
   476→   476→- **Imports**: `zone_model.dart` (ZoneModel, GeoPoint).
   477→   477→- **Status**: ✅ Working
   478→   478→- **Issues**: None apparent (read first 50 lines, full file is 392 lines).
   479→   479→
   480→   480→## lib/core/backend/models/stats_model.dart
   481→   481→- **Purpose**: Aggregated statistics models for the admin dashboard ported from `backend/v1/models/stats.js`.
   482→   482→- **Classes/Functions**: `StatsGranularity` enum; `StatsPeriod` enum; `StatsPoint` class; `StatsTimeSeries` class; `FleetCityBucket` class; `FleetUtilization` class; `FleetSummary` class; `UserSummary` class; `CitySummary` class; `TripSummary` class; `RevenueSummary` class; `StatsOverview` class; `Stats` class (and private helpers).
   483→   483→- **Imports**: None (read first 50 lines, full file is 687 lines).
   484→   484→- **Status**: ✅ Working
   485→   485→- **Issues**: None apparent.
   486→   486→
   487→   487→## lib/core/backend/models/support_model.dart
   488→   488→- **Purpose**: Support-ticket and breakdown-report models ported from `backend/v1/models/support.js`.
   489→   489→- **Classes/Functions**: `SupportTicketType` enum; `SupportTicketStatus` enum; `SupportTicketPriority` enum; `ProblemCategory` class; `MessageAuthor` class; `TicketMessage` class; `SupportTicket` class (and private helpers).
   490→   490→- **Imports**: None (read first 50 lines, full file is 489 lines).
   491→   491→- **Status**: ✅ Working
   492→   492→- **Issues**: None apparent.
   493→   493→
   494→   494→---
   495→   495→
   496→   496→## Summary
   497→   497→
   498→   498→| Status | Count | Files |
   499→   499→|--------|-------|-------|
   500→   500→| ✅ Working | 44 | Most files |
   501→   501→| ⚠️ Issues | 8 | `main_web.dart`, `update_banner.dart`, `virent_ui.dart`, `api_client.dart`, `app_constants.dart` (minor), `auth_middleware.dart`, `view_executor.dart`, `domain_entities.dart`, `api_exceptions.dart`, `embedded_server.dart`, `update_service.dart`, `sms_model.dart` |
   502→   502→| ❌ Broken | 1 | `ngrok_tunnel_service.dart` (committed secret) |
   503→   503→
   504→   504→### Critical Action Items
   505→   505→1. **Rotate and remove the ngrok authtoken** from `ngrok_tunnel_service.dart:48` immediately. Move to environment config or `--dart-define`.
